Player,Surface,ELO
Stanislaw Czetwertynski,Clay,1471.2775123173483
Jean Wuarin,Clay,1453.665016044992
Guillermo Robson,Clay,1505.3612313713513
Francisco Sindreu,Clay,1469.8205012697888
Ingvar Garell,Clay,1442.8417648398295
Gerald Sherwell,Clay,1470.604231310648
Takeichi Harada,Clay,1595.6493870623901
Alfonso Unda,Clay,1444.965999969558
Teizo Toba,Clay,1498.0994998587926
Manuel Llano,Clay,1484.0
Tsumio Tawara,Clay,1516.0
Mariano Lozano Alatorre,Clay,1484.0
Raimundo Morales Marques,Clay,1516.0
Horace Keats Lester,Clay,1519.276803035168
Charles Kingsley,Clay,1530.8735865857486
P Landry,Clay,1518.3125183238067
Otto Froitzheim,Clay,1543.2380836530176
J Carreras,Clay,1484.0
J Andreu,Clay,1488.5726365362816
Jacques Christian Boussus,Clay,1556.0548387878616
Jacques Siguier,Clay,1439.8547724650575
Louis Bosman Raymond,Clay,1515.01531673064
Sri Krishna Prasada,Clay,1560.8310600878497
Luis Torralva Ponsa,Clay,1484.2116912438164
Karl Wetzel,Clay,1492.7456183480306
Jack Condon,Clay,1519.7901902793049
Sidney Burr Wood Jr,Clay,1526.4890523787817
J Rebois,Clay,1456.075542311354
G Geraud,Clay,1500.6649685852578
Brame Hillyard,Clay,1484.0
Norman Gordon Farquharson,Clay,1515.9465601561656
Jimmy H Van Alen,Clay,1500.7908034171448
Loutfalla Wahid,Clay,1395.9024708714742
Paul Barrelet De Ricou,Clay,1444.2756953593068
X Krishen,Clay,1484.736306793522
R Danon,Clay,1482.5641271217237
Robert Laurent,Clay,1484.7024671725246
Denis Laurent,Clay,1442.894170873109
Heinrich Kleinschroth,Clay,1461.0434492470188
Eugene Broquedis,Clay,1501.7969522383696
Jacques Samazeuilh,Clay,1502.6093194630168
Emmanuel Du Plaix,Clay,1475.6318527877065
Domingo Torralva Ponsa,Clay,1435.9578532099908
Frank Fisher,Clay,1483.5988756209938
Etienne Micard,Clay,1483.3147897420274
Herman W Artens,Clay,1571.489786315346
Pedro Garriga Nogues,Clay,1455.196134982826
Hector Chiesa,Clay,1425.9702282206656
X De Klazkowski,Clay,1482.539785766682
Edward Higgs,Clay,1526.6489422127413
Antonio Juanico,Clay,1451.5297852525277
Georg Demasius,Clay,1514.698859994209
Hans Moldenhauer,Clay,1552.469943903607
Ghica Poulieff,Clay,1464.607473103591
Giorgio De Stefani,Clay,1713.3336653517804
Gilbert Nunns,Clay,1481.2807636252796
Wilmer Lawson Allison,Clay,1603.4816758413333
Robert Kinsey,Clay,1474.6114188467352
Ricardo Tapia,Clay,1353.2941257205323
Jack Hawkes,Clay,1561.746328252946
Jack Crawford,Clay,1666.7417499208086
Franz Wilhelm Matejka,Clay,1559.9826688351357
Ody Koopman,Clay,1468.1378182619753
Pierre Grandguillot,Clay,1462.5331221424863
Iw Bobb,Clay,1500.736306793522
